,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
G7,0.131644,0.029112,-0.012631,-0.013184,-0.007927,-0.015494,-0.015501,-0.009141,-0.009353,-0.007001,-0.013757,-0.023546,-0.013667,-0.010609,-0.003744,0.026677,0.026318,-0.059277,-0.023586,0.101837,0.05823,-0.125169,-0.09992,0.43612,-0.375863,0.072987,0.033397,-0.066078,0.110037,0.138503,0.144359,0.78561,0.437733,0.152615,0.955729,1.0,0.6385,-0.185142,0.066848,0.103569,0.04765,0.299742,-0.060294,-0.181809,0.150756,-0.1051,-0.079426,-0.068671
G8,-0.07523,0.071252,0.013902,0.007235,0.016761,0.010248,0.015678,0.017896,0.014167,0.016492,0.018203,0.013102,0.008145,0.016122,0.006333,-0.02026,-0.021717,0.061483,0.06525,0.000888,-0.042784,-0.058248,0.068758,-0.37406,0.414444,-0.234569,-0.097773,0.132028,-0.031802,0.175953,-0.417627,-0.388616,-0.332639,0.27524,-0.644268,0.6385,1.0,0.261502,-0.049732,-0.10474,-0.031039,-0.097343,-0.091385,-0.006869,-0.092569,0.10353,0.015696,0.080488
G9,0.040046,-0.056986,0.044658,0.018675,0.026443,0.010872,0.006241,0.014194,0.017563,0.01575,0.013178,0.016125,0.011855,0.027198,-0.000645,-0.064142,0.001637,-0.001478,-0.000126,-0.15133,0.07953,0.083183,-0.149215,-0.040107,0.046337,0.286723,-0.175918,0.129326,-0.17982,0.138972,0.344187,0.020639,0.546949,0.115084,0.12791,-0.185142,0.261502,1.0,-0.040975,-0.057004,0.027944,-0.016389,0.160957,0.074825,0.023685,-0.055154,-0.038258,0.002999
R1,-0.008717,0.044769,0.009272,-0.000948,-0.000409,-0.000508,-0.000401,-0.000255,-0.000813,-0.000424,-0.000164,-0.000892,-0.000474,-0.000888,-0.009253,-0.013313,0.021767,-0.08107,0.1297,0.033594,-0.068721,-0.073013,-0.074662,-0.1283,0.041629,0.114665,0.054391,-0.006668,-0.099163,0.084867,-0.127854,-0.012163,0.11048,0.037763,-0.075198,0.066848,-0.049732,-0.040975,1.0,-0.386018,-0.030703,-0.025024,0.163211,-0.012866,-0.376558,0.473283,0.052179,0.054866
R2,-0.044723,0.07486,0.007303,-9.4e-05,0.000553,0.000425,0.00038,0.000296,0.000406,5.9e-05,3.5e-05,0.00038,5.1e-05,0.000291,-0.004704,-0.013133,0.034443,0.097297,0.017572,-0.064678,-0.136426,-0.167231,0.285784,-0.141824,0.087423,-0.018369,0.039345,0.007445,-0.137818,-0.136961,0.047702,-0.125074,-0.088087,0.018711,-0.101518,0.103569,-0.10474,-0.057004,-0.386018,1.0,-0.19649,-0.206716,0.323781,0.059158,-0.187886,0.382622,-0.002631,0.159671
R3,-0.043582,0.265104,0.009781,-0.005449,-0.003727,-0.004679,-0.010499,-0.003276,-0.002536,-0.004146,-0.00548,-0.00484,-0.00353,-0.005459,-0.005698,-0.00861,0.016617,0.011208,-0.03091,0.035756,0.10248,-0.081195,0.02152,-0.091042,0.040722,-0.003217,0.044904,-0.022345,-0.039064,-0.130003,0.012315,-0.06325,-0.033968,-0.02121,-0.035438,0.04765,-0.031039,0.027944,-0.030703,-0.19649,1.0,-0.050651,0.002137,-0.068172,-0.275389,0.371983,-0.006356,0.349722
R4,0.164049,-0.077728,-0.004785,0.000231,0.000295,0.000146,0.000107,0.000119,0.000329,3.6e-05,0.000293,4.4e-05,0.000276,8.7e-05,0.002822,0.007644,-0.010141,-0.098388,0.110635,0.032053,0.100233,0.079348,-0.03965,-0.132892,0.169786,5e-05,-0.067402,0.09139,-0.038734,-0.127406,0.014779,-0.241588,-0.256679,0.0017,-0.316671,0.299742,-0.097343,-0.016389,-0.025024,-0.206716,-0.050651,1.0,-0.059756,0.232456,0.082532,0.013733,-0.08436,0.057856
R5,0.005593,-0.005007,-0.002681,0.004296,0.002607,0.002837,0.004463,0.002821,0.002193,0.003104,0.003363,0.002401,0.002499,0.002226,0.01784,0.005219,-0.01847,-0.11356,-0.090898,0.133758,0.068114,0.059956,-0.045029,-0.025986,0.07352,-0.044326,0.005683,-0.03575,0.093151,0.021786,-0.077678,0.123099,0.072761,0.04763,0.062228,-0.060294,-0.091385,0.160957,0.163211,0.323781,0.002137,-0.059756,1.0,0.119531,0.324814,-0.161568,-0.017984,-0.035817
R6,-0.09645,0.006629,0.011834,0.003145,0.002666,0.002994,0.003853,0.004271,0.00223,0.001865,0.004611,0.003022,0.001995,0.004198,-0.007122,-0.02375,0.025764,-0.008853,-0.076017,0.138296,0.081741,-0.273258,-0.059829,0.045477,-0.07173,-0.015109,0.22175,-0.197447,0.1467,-0.000787,-0.004447,0.171116,0.021672,0.101557,0.163868,-0.181809,-0.006869,0.074825,-0.012866,0.059158,-0.068172,0.232456,0.119531,1.0,0.004727,0.047124,0.072996,0.008067
R7,0.035029,0.127654,-0.016637,-0.009653,-0.0085,-0.006024,-0.006191,-0.01188,-0.006802,-0.011304,-0.018401,-0.005531,-0.006871,-0.010247,-0.005729,0.01394,0.040083,0.033417,0.09161,0.070057,0.016382,-0.038807,-0.008735,-0.094534,0.079465,0.016697,0.116093,-0.049693,-0.096939,-0.075182,-0.096038,-0.120636,-0.106025,-0.012178,-0.146447,0.150756,-0.092569,0.023685,-0.376558,-0.187886,-0.275389,0.082532,0.324814,0.004727,1.0,0.922323,-0.0061,0.11874
R8,-0.002298,-0.131674,0.015889,0.025241,0.017326,0.008294,0.017189,0.015717,0.017206,0.032521,0.014,0.006106,0.017341,0.029108,0.009093,-0.018844,-0.052602,-0.001885,-0.07064,-0.102555,0.020869,0.096195,-0.047426,0.117983,-0.089642,-0.016281,-0.132657,0.071634,0.090425,0.088076,0.063367,0.081939,0.057621,-0.022572,0.105334,-0.1051,0.10353,-0.055154,0.473283,0.382622,0.371983,0.013733,-0.161568,0.047124,0.922323,1.0,0.00509,-0.172464
T1,0.209246,-0.042909,-0.010331,0.012903,0.01113,0.015672,0.03119,0.017286,0.008789,0.017938,0.008746,0.016558,0.021195,0.018482,0.039495,0.037001,-0.111894,0.012906,0.088638,0.008692,-0.023754,0.047452,-0.006187,0.243341,-0.02604,-0.215023,-0.146028,0.155765,-0.044772,0.057327,-0.099652,0.13303,-0.088852,0.107529,0.053693,-0.079426,0.015696,-0.038258,0.052179,-0.002631,-0.006356,-0.08436,-0.017984,0.072996,-0.0061,0.00509,1.0,0.553886
T2,-0.032894,0.022674,0.117984,0.003295,0.004204,0.005609,0.009376,0.004905,0.01373,0.002512,0.006788,0.004071,0.003108,0.003748,-0.016472,-0.11948,0.108959,-0.048586,-0.072172,0.030851,0.105826,0.025524,-0.034735,0.07009,-0.097482,0.042717,0.028138,-0.032007,0.034748,0.073445,-0.004291,0.056122,0.054058,-0.025103,0.069748,-0.068671,0.080488,0.002999,0.054866,0.159671,0.349722,0.057856,-0.035817,0.008067,0.11874,-0.172464,0.553886,1.0
