,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
E2,-0.201359,0.175066,0.233846,-0.051579,0.037135,-0.075465,-0.23945,-0.145618,0.04027,0.157849,0.162412,-0.996848,1.0,-0.360395,-0.99978,-0.047809,0.99985,-0.07129,3e-06,0.042745,-0.19743,3e-06,0.057004,-0.028614,0.144188,-0.028388,-0.083931,0.052508,0.049097,0.112465,-0.061246,-0.048572,-0.004223,-0.143895,-0.050523,0.082091,-0.052559,-0.010354,0.214181,-0.088111,0.08368,0.065567,-0.205897,0.078377,0.028068,0.025678,-0.042824,0.050745
E3,-0.122357,0.173008,0.103011,-0.125485,0.013044,-0.008663,-0.107768,-0.160904,0.038578,0.187371,0.047114,-0.395412,-0.360395,1.0,-0.367545,0.483038,0.369476,-0.149782,-8e-06,-0.007734,0.009694,-8e-06,-0.134846,-0.018096,0.033255,0.047472,0.016869,-0.044081,-0.066931,0.04617,0.019099,-0.144865,0.053963,-0.042803,0.036503,-0.026592,0.015983,-0.058139,0.093807,-0.05397,0.041452,-0.076785,-0.124933,0.003917,0.010109,0.036032,-0.055693,0.00692
E4,-0.200282,0.173622,0.235626,-0.051499,0.039717,-0.073204,-0.241175,-0.144364,0.040643,0.157149,0.163504,-0.997251,-0.99978,-0.367545,1.0,-0.044855,0.999917,-0.075387,-5e-06,0.043164,-0.199005,-6e-06,0.060941,-0.028633,0.142707,-0.027107,-0.082366,0.051367,0.046629,0.112782,-0.062751,-0.049569,-0.007031,-0.144054,-0.049057,0.080852,-0.051821,-0.00948,0.213579,-0.087811,0.082822,0.066494,-0.204657,0.07398,0.028227,0.025377,-0.043331,0.049892
E5,0.113107,-0.095283,-0.035196,0.096235,0.012083,0.017557,0.037385,0.094575,-0.029773,-0.085655,-0.054677,0.024965,-0.047809,0.483038,-0.044855,1.0,0.039662,-0.027439,9e-06,0.070653,-0.082866,9e-06,0.268048,0.032727,-0.043326,-0.072784,0.042851,0.016694,-0.169145,-0.110647,0.072329,0.116451,0.028321,0.042217,-0.111984,0.095269,-0.056388,0.004145,-0.026035,0.097989,-0.097724,0.014142,0.154943,-0.059714,-0.030552,-0.01917,0.073977,-0.037736
E6,0.202141,-0.175017,-0.23632,0.051805,-0.0381,0.074161,0.241909,0.145827,-0.040231,-0.159085,-0.163693,0.997713,0.99985,0.369476,0.999917,0.039662,1.0,0.075191,1.8e-05,-0.043295,0.196087,1.8e-05,-0.053769,0.029139,-0.143964,0.026368,0.083621,-0.05228,-0.049599,-0.112713,0.06178,0.050344,0.004683,0.143982,0.04969,-0.081405,0.052346,0.01038,-0.214977,0.088413,-0.082567,-0.066225,0.206578,-0.076115,-0.028415,-0.025649,0.044392,-0.050715
E7,-0.038743,-0.006859,-0.01278,0.060515,-0.005333,-0.067875,0.011573,0.05756,-0.055468,0.014556,0.00668,-0.075546,-0.07129,-0.149782,-0.075387,-0.027439,0.075191,1.0,-0.000917,0.686246,0.435629,-0.000916,-0.108122,0.027828,-0.105013,0.219383,0.119604,-0.110765,-0.124023,-0.054517,0.10295,-0.029271,-0.074138,0.014753,-0.119593,0.137627,-0.143512,0.054851,0.142958,0.123107,-0.075934,0.133952,0.005936,-0.05977,-0.115083,0.117223,-0.121451,-0.105827
E8,-0.00017,5.9e-05,1.2e-05,-5.5e-05,0.000138,-9e-06,2.6e-05,-2.5e-05,8e-05,0.000314,6.4e-05,3.2e-05,3e-06,-8e-06,-5e-06,9e-06,1.8e-05,-0.000917,1.0,-6e-05,7.1e-05,1.0,2e-06,1e-06,-1e-05,-2e-06,-2.7e-05,-3.1e-05,2e-06,-1e-06,-2.6e-05,1.5e-05,-1.1e-05,-6.9e-05,-2e-06,1.3e-05,0.0,-1.8e-05,3.5e-05,0.00011,-1.5e-05,-6e-06,-1.5e-05,0.0,-7e-06,1.1e-05,1e-05,-3e-05
E9,0.021236,-0.02193,0.009024,0.033239,-0.061372,0.128921,-0.007851,-0.007711,0.051353,-0.027822,-0.010438,0.039718,0.042745,-0.007734,0.043164,0.070653,-0.043295,0.686246,-6e-05,1.0,-0.257479,-6e-05,0.046008,-0.105986,0.095098,-0.078435,-0.155741,0.159088,0.096571,-0.063797,0.054028,-0.152401,0.024487,0.025797,-0.001336,-0.04276,0.074188,-0.029213,-0.044995,-0.017428,0.050934,-0.061035,0.056878,0.008839,0.149574,-0.177666,0.097375,0.157991
E10,-0.016994,0.014693,0.170886,-0.212936,0.253572,-0.068389,-0.17164,0.002681,0.109085,0.251772,0.08141,-0.192523,-0.19743,0.009694,-0.199005,-0.082866,0.196087,0.435629,7.1e-05,-0.257479,1.0,7.1e-05,0.567344,-0.045452,0.161792,-0.103601,-0.054253,-0.018885,0.008681,0.118476,-0.119183,0.006692,0.169926,-0.116652,0.027823,0.013734,-0.038841,0.024928,0.03778,-0.00144,0.129539,0.070562,-0.14832,0.048205,0.10519,-0.068709,0.023563,0.004734
E11,-0.000154,5.9e-05,1.2e-05,-5.7e-05,0.000138,-9e-06,2.6e-05,-2.5e-05,8e-05,0.000316,6.4e-05,3.1e-05,3e-06,-8e-06,-6e-06,9e-06,1.8e-05,-0.000916,1.0,-6e-05,7.1e-05,1.0,3e-06,1e-06,-1e-05,-0.0,-2.9e-05,-3.1e-05,1e-06,-2e-06,-2.5e-05,1.5e-05,-1.1e-05,-6.9e-05,-1e-06,1e-06,6e-06,-1.8e-05,3.5e-05,0.00011,-1.5e-05,-6e-06,-1.3e-05,-1e-06,-7e-06,1.1e-05,1.4e-05,-3e-05
E12,0.02426,0.005179,0.014448,0.115025,-0.207793,-0.080191,-0.013864,-0.029996,-0.074832,-0.004955,0.002403,0.0336,0.057004,-0.134846,0.060941,0.268048,-0.053769,-0.108122,2e-06,0.046008,0.567344,3e-06,1.0,-0.005782,0.033513,0.054732,-0.227041,0.225021,0.217394,-0.002986,0.007766,-0.050558,0.023706,-0.002736,-0.039889,0.032236,-0.03402,-0.048846,0.092419,0.069207,0.06135,0.050389,-0.038614,0.042633,0.037496,-0.048598,-0.091469,0.118572
M1,-0.024092,-0.202951,0.019356,0.097988,-0.078048,-0.090639,-0.013398,0.143813,0.120573,-0.115001,0.111984,-0.031547,-0.028614,-0.018096,-0.028633,0.032727,0.029139,0.027828,1e-06,-0.105986,-0.045452,1e-06,-0.005782,1.0,0.793352,0.544326,0.111455,-0.108318,-0.063519,-0.078196,0.075256,0.092474,-0.061387,-0.035165,0.024467,-0.030174,0.075601,0.19197,-0.070916,0.140418,0.134147,0.148359,0.047153,-0.002767,-0.079619,0.010677,0.496028,0.377379
M2,0.095645,0.221012,-0.173492,0.005045,-0.047235,0.162787,0.167391,-0.180789,-0.074857,-0.008091,-0.095823,0.147302,0.144188,0.033255,0.142707,-0.043326,-0.143964,-0.105013,-1e-05,0.095098,0.161792,-1e-05,0.033513,0.793352,1.0,-0.196601,-0.085069,0.13111,0.017236,0.000382,0.004945,-0.159265,0.014367,0.035321,0.052259,-0.075792,0.07228,-0.10387,0.032073,-0.032405,-0.181656,-0.108028,0.107334,-0.110569,0.085088,-0.065178,-0.353511,-0.341023
M3,-0.049517,0.068648,0.155725,-0.104934,0.099582,-0.027203,-0.157229,-0.084978,-0.044903,0.072385,-0.023784,-0.020402,-0.028388,0.047472,-0.027107,-0.072784,0.026368,0.219383,-2e-06,-0.078435,-0.103601,-0.0,0.054732,0.544326,-0.196601,1.0,-0.118508,0.103401,0.061365,0.192515,-0.228779,-0.00458,0.093746,0.004809,0.104098,-0.091588,0.051821,-0.115878,0.009025,-0.114611,0.081458,-0.064539,-0.058293,-0.018059,0.19035,-0.137762,0.18872,0.100424
M4,0.070446,0.04314,0.000844,0.120204,-0.155337,-0.031679,-0.002855,-0.014661,0.014651,-0.034024,0.044541,-0.087043,-0.083931,0.016869,-0.082366,0.042851,0.083621,0.119604,-2.7e-05,-0.155741,-0.054253,-2.9e-05,-0.227041,0.111455,-0.085069,-0.118508,1.0,0.927287,0.751836,-0.032548,0.043134,-0.113492,0.120022,-0.034187,-0.141028,0.147071,-0.140379,-0.185862,0.086313,0.142398,0.08895,0.10491,0.115218,0.018826,0.129448,-0.199797,-0.083907,0.187613
M5,-0.160125,-0.009114,0.082664,-0.195935,0.246806,-0.007923,-0.082381,-0.005618,0.005705,0.127419,-0.051457,0.051854,0.052508,-0.044081,0.051367,0.016694,-0.05228,-0.110765,-3.1e-05,0.159088,-0.018885,-3.1e-05,0.225021,-0.108318,0.13111,0.103401,0.927287,1.0,-0.645995,0.065565,-0.043027,0.109747,-0.061867,0.005361,0.135529,-0.132199,0.123544,0.155229,-0.073375,-0.180338,0.029589,-0.106496,-0.254252,0.061021,-0.077115,0.197134,0.063406,-0.219628
